Tijdstempel,What place are you at?,"What is your name, and list the people you are with",What time did you arrive?,What time did you place the order?,What was the price?,What time did you get your kapsalon,How many people are in the restaurant?,Do you get a bottle of knoflook sauce if you eat in the restaurant?,Rate the ambiance: furniture,Rate the ambiance: atmosphere,Rate the ambiance: music,Rate the ambiance: decorations,What brands of beer do they serve?
17-2-2023 19:15:50,4,"E, L",19:10:00,19:10:00,€ 7,19:17:00,0,Yes,2,2,1,4,None
17-2-2023 19:19:30,6,"G, C",19:17:00,19:17:00,6€ / Kapsalon,,1,Yes,3,1,4,3,Geen Beer ! We are Muslim place ma frend !
17-2-2023 19:21:47,2,"B, H",19:12:00,19:13:00,17,19:21:00,8,No,2,2,1,2,None
17-2-2023 19:24:50,1,A,9:12:00,9:14:00,7.5,19:24:00,13,Yes,5,5,4,5,"Heineken, hertog jan"
17-2-2023 19:28:06,5,D,19:12:00,19:13:00,€ 13.80,19:26:00,5,No,3,2,3,2,Heineken
17-2-2023 19:32:28,7,"G, C",19:14:00,19:16:00,7.5,19:32:00,4 employees 2 of them women. Actually my first ever kapsaloon prepared by a woman,Yes,2,2,1,2,Ayran
17-2-2023 19:37:01,3,B,19:26:00,19:27:00,15.4,19:35:00,4,No,2,2,1,2,None
