Tijdstempel,The place,"fries (mass, g, use comma)","meat (mass, g, use comma)","cheese (mass, g, use comma)",lettuce,other (name it),"other , weigh it (mass, g, use comma)",special remarks?
17-2-2023 20:11:18,6,"184,7","209,4",,"145,6",,,Burnt fries
17-2-2023 20:12:09,1,"231,8","209,2",in the meat,"99,6",,,
17-2-2023 20:12:52,7,"204,8","253,8",with meat,"73,2",,,
17-2-2023 20:13:36,2,"182,5","205,6",,"97,1",,,
17-2-2023 20:14:24,3,"248,6","348,9",,"59,1",,,
17-2-2023 20:14:55,4,"224,7","326,4",,"76,6",,,
17-2-2023 20:15:20,5,"218,4","210,9",,"71,1",,,
