Tijdstempel,What is the place?,Temperature (C),"Top width (enter in cm, use a comma)","Top length (enter in cm, use a comma)","Bottom width (enter in cm, use a comma)","Bottom length (enter in cm, use a comma)","Height (enter in cm, use a comma)","Total mass (g, use a comma)",Other relevant observations
17-2-2023 19:38:42,4,"47,9",13,"18,5","9,5",16,4,661,super fucking fast
17-2-2023 19:42:42,5,32,"14,5","18,7","9,4","15,8","4,9",532,"during ordering, you could not request anything. ""they just basically gave you something"""
17-2-2023 19:48:03,2,"45,3","12,1","20,3","9,2",16,5,488,"on the receipt it says ""extra cheese""...they paid for it (1 EUR), but it was not requested."
17-2-2023 19:53:37,7,42,14,"19,4","9,2","15,6","4,9",557,Temperature was measured after ~5 minutes. Women preparing kapsalon
17-2-2023 19:56:07,3,41,"14,5","19,5","9,7","15,6",4.8,681,"Secretly they have a lot of space upstairs, toilets are good. Prices out of date"
17-2-2023 19:58:04,1,"42,5",14,"19,5","9,5","15,9","4,9",569,Prefer cash and they were friendly
17-2-2023 20:00:31,6,39,"13,7","20,2","9,5",16,"4,6",560,"Doner uncooked, 20 mins waiting. Said only chicken in advance"
